area_id,safety_score,education_score,convenience_score,asset_value_score,living_score,total_score,calculated_at
2,50,80,85,80,88,76,2025-12-04T13:10:08.430100
3,67,80,85,80,88,80,2025-12-04T13:10:08.489634
4,81,80,85,85,88,83,2025-12-04T13:10:08.563428
5,91,80,85,80,88,84,2025-12-04T13:10:08.630335
6,100,80,85,90,88,88,2025-12-04T13:10:08.698470
7,100,80,85,95,88,89,2025-12-04T13:10:08.767839
8,100,80,85,90,88,88,2025-12-04T13:10:08.830167
9,100,80,85,90,88,88,2025-12-04T13:10:08.893214
10,100,80,85,95,88,89,2025-12-04T13:10:08.959058
1,78,80,85,95,88,85,2025-12-08T21:29:22.352148
